Year_t,Brazil_t,Democratic_Republic_of_the_Congo_t,Indonesia_t,Colombia_t,Peru_t,Bolivia_t,Angola_t,Venezuela_t,Mexico_t,Papua_New_Guinea_t,Myanmar_t,India_t,Brazil,Democratic_Republic_of_the_Congo,Indonesia,Colombia,Peru,Bolivia,Angola,Venezuela,Mexico,Papua_New_Guinea,Myanmar,India
2000,357307.02,274546.76,192112.61,136206.55,111230.31,107016.35,56570.38,54377.75,43280.73,39911.2,39139.13,36160.46,86.62,53.71,79.8,90.23,89.14,70.51,44.72,67.4,53.42,35.43,50.06,58.31
2001,355029.28,274234.46,191364.91,136062.12,111159.24,106881.01,56488.59,54307.41,43153.17,39878.6,39072.03,36114.88,89.88,55.73,82.8,93.62,92.49,73.16,46.4,69.93,55.42,36.76,51.94,60.5
2002,352651.68,273889.11,190771.43,135936.38,111103.19,106759.51,56449.42,54247.02,43046.35,39840.67,39028.04,36079.58,89.11,55.25,82.09,92.82,91.7,72.54,46,69.33,54.95,36.45,51.49,59.98
2003,350459.71,273707.51,190392.88,135852.74,111051.72,106647.23,56414.74,54188.16,42944.27,39818.5,38976.67,36047.87,88.94,55.15,81.93,92.64,91.52,72.4,45.91,69.2,54.84,36.38,51.39,59.87
2004,347849.68,273438.68,189499.08,135678.01,110981.06,106510.03,56367.6,54127.25,42830.84,39777.98,38908.67,35998.62,92.02,57.06,84.78,95.85,94.7,74.91,47.51,71.6,56.74,37.64,53.18,61.94
2005,345476.33,273111.62,188678.2,135548.07,110867.42,106339.63,56305.18,54063.63,42692.86,39750.85,38847.05,35957.13,88.25,54.72,81.3,91.92,90.82,71.84,45.56,68.67,54.42,36.1,51,59.4
2006,343527.94,272804.69,187686.12,135417.44,110805.43,106192.76,56254.1,54006.58,42572.51,39711.59,38763.1,35912.59,87.91,54.51,80.99,91.57,90.46,71.56,45.38,68.4,54.21,35.96,50.8,59.17
2007,341766.66,272493.31,186724.91,135232.18,110724.66,106062.71,56153.07,53929.68,42426.87,39677.32,38665.68,35863.97,89.96,55.78,82.88,93.71,92.58,73.23,46.44,70,55.48,36.8,51.99,60.56
2008,340118.94,272221.71,185757.65,135072.36,110636.29,105815.12,56081.81,53849.44,42303.31,39627.84,38586.56,35807.23,89.19,55.31,82.17,92.91,91.79,72.61,46.05,69.4,55,36.48,51.54,60.04
2009,338903.62,271792.67,184408.67,134908.72,110512.13,105664.26,55963.47,53754.68,42114.45,39593.57,38442.68,35754.9,84.99,52.7,78.3,88.53,87.47,69.19,43.88,66.13,52.41,34.76,49.12,57.21
2010,337098.13,271246.95,183519.16,134772.42,110412.81,105357.15,55861.11,53685.96,42002.64,39545.65,38329.21,35720.91,86.28,53.5,79.49,89.87,88.79,70.23,44.54,67.13,53.2,35.29,49.86,58.08
2011,335806.84,270959.76,182446.9,134641.09,110325.39,105134.24,55734.5,53635.75,41877.01,39508.67,38238.68,35663.12,87.48,54.24,80.59,91.12,90.02,71.21,45.16,68.07,53.94,35.78,50.55,58.88
2012,333851.15,270539.8,180879.22,134484.16,110133.32,104948.2,55613.72,53564.34,41759.17,39457.53,38089.92,35600.23,86.54,53.66,79.72,90.14,89.05,70.44,44.67,67.33,53.36,35.39,50.01,58.25
2013,332539.42,269915.96,180094.14,134388.05,109987.49,104829.07,55493.73,53520.45,41610.97,39418.16,37926.89,35546.82,84.91,52.65,78.22,88.44,87.38,69.12,43.83,66.07,52.36,34.73,49.07,57.15
2014,330723.9,269017.93,178792.45,134248.54,109844.48,104656.73,55349.41,53451.9,41495.45,39344.81,37709.53,35455.57,85.68,53.13,78.93,89.25,88.17,69.75,44.23,66.67,52.83,35.04,49.51,57.67
